"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",74.6,25.4,100,162,82,"82/162"
2,"Bern","Berne","Berna",0,0,50,334,0,"0/334"
3,"Luzern","Lucerne","Lucerna",71.5,28.5,100,80,77,"77/80"
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19"
5,"Schwyz","Schwyz","Svitto",60.6,39.4,100,30,10,"10/30"
6,"Obwalden","Obwald","Obvaldo",0,0,50,7,0,"0/7"
7,"Nidwalden","Nidwald","Nidvaldo",74.4,25.6,74.4,11,11,
8,"Glarus","Glaris","Glarona",0,0,50,3,0,"0/3"
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11"
10,"Freiburg","Fribourg","Friburgo",75.6,24.4,100,126,93,"93/126"
11,"Solothurn","Soleure","Soletta",72.3,27.7,100,107,87,"87/107"
12,"Basel-Stadt","Bâle-Ville","Basilea Città",0,0,50,3,0,"0/3"
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",75.1,24.9,100,86,65,"65/86"
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26"
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",0,0,50,20,0,"0/20"
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,5,0,"0/5"
17,"St. Gallen","Saint-Gall","San Gallo",71.2,28.8,100,77,27,"27/77"
18,"Graubünden","Grisons","Grigioni",72.1,27.9,100,101,91,"91/101"
19,"Aargau","Argovie","Argovia",71.9,28.1,100,200,130,"130/200"
20,"Thurgau","Thurgovie","Turgovia",72.5,27.5,100,80,78,"78/80"
21,"Tessin","Tessin","Ticino",65.6,34.4,100,106,31,"31/106"
22,"Waadt","Vaud","Vaud",74.3,25.7,100,300,291,"291/300"
23,"Wallis","Valais","Vallese",75.2,24.8,100,122,116,"116/122"
24,"Neuenburg","Neuchâtel","Neuchâtel",0,0,50,27,0,"0/27"
25,"Genf","Genève","Ginevra",0,0,50,45,0,"0/45"
26,"Jura","Jura","Giura",0,0,50,53,0,"0/53"
