"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,36.2,36.2,63.8,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Die Gemeinde Aeugst am Albis ist gegen die Änderung des Transplantationsgesetzes: Sie hat den Bundesbeschluss mit 63,8 Prozent Nein verworfen. Aeugst am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","La modification de la loi sur la transplantation d'organes est refusée à 63,8 pour cent à Aeugst am Albis. Aeugst am Albis a refusé la modification, contrairement à son canton.","NA NA"
2,62.5,62.5,37.5,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","62,5 Prozent der Stimmbürgerinnen und Stimmbürger in Affoltern am Albis haben Ja gesagt zur Änderung des Transplantationsgesetzes. Affoltern am Albis hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants d'Affoltern am Albis acceptent avec 62,5 pour cent de oui la modification de la loi sur la transplantation d'organes. Affoltern am Albis a approuvé la modification, tout comme son canton.","NA NA"
3,83.4,83.4,16.6,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","83,4 Prozent der Stimmbürgerinnen und Stimmbürger in Bonstetten haben Ja gesagt zur Änderung des Transplantationsgesetzes. Bonstetten hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Bonstetten acceptent avec 83,4 pour cent de oui la modification de la loi sur la transplantation d'organes. Bonstetten a approuvé la modification, tout comme son canton.","NA NA"
4,58,58,42,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","58 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben sich für die Änderung des Transplantationsgesetzes ausgesprochen. Hausen am Albis hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","A Hausen am Albis, les habitants disent oui à 58 pour cent à la modification de la loi sur la transplantation d'organes. Hausen am Albis a approuvé la modification, tout comme son canton.","NA NA"
5,61.3,61.3,38.7,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Mit 9'014 Ja zu 5'694 Nein hat sich Hedingen für die Änderung des Transplantationsgesetzes ausgesprochen. Die entspricht 61,3 Prozent. Hedingen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Hedingen dit oui à 61,3 pour cent à la modification de la loi sur la transplantation d'organes. Hedingen a approuvé la modification, tout comme son canton.","NA NA"
6,60.7,60.7,39.3,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","60,7 Prozent der Stimmbürgerinnen und Stimmbürger in Kappel am Albis haben Ja gesagt zur Änderung des Transplantationsgesetzes. Kappel am Albis hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Kappel am Albis acceptent avec 60,7 pour cent de oui la modification de la loi sur la transplantation d'organes. Kappel am Albis a approuvé la modification, tout comme son canton.","NA NA"
7,58.2,58.2,41.8,"Knonau ZH","Knonau (ZH)","Knonau ZH","Mit 9'781 Ja zu 7'016 Nein hat sich Knonau für die Änderung des Transplantationsgesetzes ausgesprochen. Die entspricht 58,2 Prozent. Knonau hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Knonau dit oui à 58,2 pour cent à la modification de la loi sur la transplantation d'organes. Knonau a approuvé la modification, tout comme son canton.","NA NA"
8,92.7,92.7,7.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","Die Änderung des Transplantationsgesetzes ist in Maschwanden mit 92,7 Prozent der Stimmen angenommen worden. Maschwanden hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","La loi sur la transplantation d'organes est approuvée à Maschwanden par 92,7 pour cent des votants. Maschwanden a approuvé la modification, tout comme son canton.","NA NA"
9,33.6,33.6,66.4,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","66,4 Prozent Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben Nein gesagt zur Änderung des Transplantationsgesetzes. Mettmenstetten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","A Mettmenstetten, les citoyens rejettent à 66,4 pour cent la loi sur la transplantation d'organes. Mettmenstetten a refusé la modification, contrairement à son canton.","NA NA"
10,10.1,10.1,89.9,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","89,9 Prozent Stimmbürgerinnen und Stimmbürger von Obfelden haben Nein gesagt zur Änderung des Transplantationsgesetzes. Obfelden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","A Obfelden, les citoyens rejettent à 89,9 pour cent la loi sur la transplantation d'organes. Obfelden a refusé la modification, contrairement à son canton.","NA NA"
11,73,73,27,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Mit 6'188 Ja zu 2'285 Nein hat sich Ottenbach für die Änderung des Transplantationsgesetzes ausgesprochen. Die entspricht 73 Prozent. Ottenbach hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Ottenbach dit oui à 73 pour cent à la modification de la loi sur la transplantation d'organes. Ottenbach a approuvé la modification, tout comme son canton.","NA NA"
12,76.2,76.2,23.8,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Mit 9'861 Ja zu 3'080 Nein hat sich Rifferswil für die Änderung des Transplantationsgesetzes ausgesprochen. Die entspricht 76,2 Prozent. Rifferswil hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Rifferswil dit oui à 76,2 pour cent à la modification de la loi sur la transplantation d'organes. Rifferswil a approuvé la modification, tout comme son canton.","NA NA"
13,72,72,28,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","72 Prozent der Stimmbürgerinnen und Stimmbürger von Stallikon haben sich für die Änderung des Transplantationsgesetzes ausgesprochen. Stallikon hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","A Stallikon, les habitants disent oui à 72 pour cent à la modification de la loi sur la transplantation d'organes. Stallikon a approuvé la modification, tout comme son canton.","NA NA"
14,98.1,98.1,1.9,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Mit 98,1 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Wettswil am Albis die Änderung des Transplantationsgesetzes angenommen. Wettswil am Albis hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","La population de Wettswil am Albis approuve à 98,1 pour cent la modification de la loi sur la transplantation d'organes. Wettswil am Albis a approuvé la modification, tout comme son canton.","NA NA"
21,89.5,89.5,10.5,"Adlikon ZH","Adlikon (ZH)","Adlikon ZH","Adlikon hat die Änderung des Transplantationsgesetzes mit 89,5 Prozent der Stimmen angenommen. Adlikon hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants d'Adlikon soutiennent à 89,5 pour cent la modification de la loi sur la transplantation d'organes. Adlikon a approuvé la modification, tout comme son canton.","NA NA"
22,36.6,36.6,63.4,"Benken ZH","Benken (ZH)","Benken ZH","Nein zur Änderung des Transplantationsgesetzes: Benken ZH hat den Bundesbeschluss mit 63,4 Prozent Nein-Stimmen verworfen. Benken ZH hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","La nouvelle loi sur la transplantation d'organes n'a pas trouvé grâce aux yeux des citoyens de Benken (ZH). Ils ont refusé la modification à 63,4 pour cent. Benken (ZH) a refusé la modification, contrairement à son canton.","NA NA"
23,63.3,63.3,36.7,"Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","63,3 Prozent der Stimmbürgerinnen und Stimmbürger in Berg am Irchel haben Ja gesagt zur Änderung des Transplantationsgesetzes. Berg am Irchel hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Berg am Irchel acceptent avec 63,3 pour cent de oui la modification de la loi sur la transplantation d'organes. Berg am Irchel a approuvé la modification, tout comme son canton.","NA NA"
24,85.1,85.1,14.9,"Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","Buch am Irchel hat die Änderung des Transplantationsgesetzes mit 85,1 Prozent der Stimmen angenommen. Buch am Irchel hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Buch am Irchel soutiennent à 85,1 pour cent la modification de la loi sur la transplantation d'organes. Buch am Irchel a approuvé la modification, tout comme son canton.","NA NA"
25,52.3,52.3,47.7,"Dachsen ZH","Dachsen (ZH)","Dachsen ZH","Dachsen hat die Änderung des Transplantationsgesetzes mit 52,3 Prozent der Stimmen angenommen. Dachsen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Dachsen soutiennent à 52,3 pour cent la modification de la loi sur la transplantation d'organes. Dachsen a approuvé la modification, tout comme son canton.","NA NA"
26,8.6,8.6,91.4,"Dorf ZH","Dorf (ZH)","Dorf ZH","Mit 7'148 Nein- zu 675 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger von Dorf die Änderung des Transplantationsgesetzes abgelehnt. Dies entspricht 91,4 Prozent. Dorf hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","La population de Dorf rejette à 91,4 pour cent des voix la loi sur la transplantation d'organes. Dorf a refusé la modification, contrairement à son canton.","NA NA"
27,67.7,67.7,32.3,"Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","67,7 Prozent der Stimmbürgerinnen und Stimmbürger in Feuerthalen haben Ja gesagt zur Änderung des Transplantationsgesetzes. Feuerthalen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Feuerthalen acceptent avec 67,7 pour cent de oui la modification de la loi sur la transplantation d'organes. Feuerthalen a approuvé la modification, tout comme son canton.","NA NA"
28,29.9,29.9,70.1,"Flaach ZH","Flaach (ZH)","Flaach ZH","Die Gemeinde Flaach ist gegen die Änderung des Transplantationsgesetzes: Sie hat den Bundesbeschluss mit 70,1 Prozent Nein verworfen. Flaach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","La modification de la loi sur la transplantation d'organes est refusée à 70,1 pour cent à Flaach. Flaach a refusé la modification, contrairement à son canton.","NA NA"
29,88.6,88.6,11.4,"Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","88,6 Prozent der Stimmbürgerinnen und Stimmbürger in Flurlingen haben Ja gesagt zur Änderung des Transplantationsgesetzes. Flurlingen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Flurlingen acceptent avec 88,6 pour cent de oui la modification de la loi sur la transplantation d'organes. Flurlingen a approuvé la modification, tout comme son canton.","NA NA"
30,24.4,24.4,75.6,"Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","75,6 Prozent der Stimmbürgerinnen und Stimmbürger von Andelfingen haben die Änderung des Transplantationsgesetzes abgelehnt. Andelfingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Les habitants d'Andelfingen s'opposent à la modification de la loi sur la transplantation d'organes par 75,6 pour cent des voix. Andelfingen a refusé la modification, contrairement à son canton.","NA NA"
31,41.9,41.9,58.1,"Henggart ZH","Henggart (ZH)","Henggart ZH","Die Änderung des Transplantationsgesetzes ist in Henggart mit 58,1 Prozent abgelehnt worden. Henggart hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","La nouvelle loi sur la transplantation d'organes n'a pas convaincu à Henggart. Les citoyens de la commune ont refusé la modification à 58,1 pour cent. Henggart a refusé la modification, contrairement à son canton.","NA NA"
32,14.2,14.2,85.8,"Humlikon ZH","Humlikon (ZH)","Humlikon ZH","In Humlikon die Änderung des Transplantationsgesetzes keine Mehrheit gefunden: 85,8 Prozent haben es abgelehnt. Humlikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","C'est non à la loi sur la transplantation d'organes à Humlikon. Les habitants ont refusé la loi modifiée à 85,8 pour cent. Humlikon a refusé la modification, contrairement à son canton.","NA NA"
