"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
3001,36,36,64,"Herisau AR","Herisau (AR)","Herisau AR","Herisau hat den höheren Frontex-Beitrag mit 64 Prozent abgelehnt. Herisau hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","Le renforcement de la participation de la Suisse à Frontex ne passe pas la rampe à Herisau avec 64 pour cent de non. Herisau a rejeté la modification de la loi, tout comme son canton.","Nel comune di Herisau la maggiore partecipazione a Frontex è stata respinta con il 64 percento dei voti. Il comune di Herisau bocciando la legge si è espresso come il suo cantone."
3002,33.9,33.9,66.1,"Hundwil AR","Hundwil (AR)","Hundwil AR","Nein zum höheren Frontex-Beitrag in Hundwil: Mit 4'897 Nein- zu 2'510 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 66,1 Prozent. Hundwil hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","Le renforcement de la participation de la Suisse à Frontex échoue à Hundwil avec 66,1 pour cent de non. Hundwil a rejeté la modification de la loi, tout comme son canton.","A Hundwil i cittadini hanno respinto, con il 66,1 percento dei voti, la maggiore partecipazione a Frontex. Il comune di Hundwil bocciando la legge si è espresso come il suo cantone."
3003,61.1,61.1,38.9,"Schönengrund AR","Schönengrund (AR)","Schönengrund AR","Die Gemeinde Schönengrund hat den höheren Frontex-Beitrag mit 61,1 Prozent angenommen. Schönengrund hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","A Schönengrund, les habitants disent oui à 61,1 pour cent au renforcement de la participation de la Suisse à Frontex. Schönengrund a approuvé la modification de la loi, contrairement à son canton.","Nel comune di Schönengrund la maggiore partecipazione a Frontex è stata approvata con il 61,1 percento dei voti. Il comune di Schönengrund approvando la legge è andato controcorrente rispetto al suo cantone."
3004,52.3,52.3,47.7,"Schwellbrunn AR","Schwellbrunn (AR)","Schwellbrunn AR","Die Gemeinde Schwellbrunn hat den höheren Frontex-Beitrag mit 52,3 Prozent Ja-Stimmen angenommen. Schwellbrunn hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","Les habitants de Schwellbrunn acceptent le renforcement de la participation de la Suisse à Frontex avec 52,3 pour cent de oui. Schwellbrunn a approuvé la modification de la loi, contrairement à son canton.","Nel comune di Schwellbrunn la maggiore partecipazione a Frontex è stata accettata con il 52,3 percento dei voti. Il comune di Schwellbrunn approvando la legge è andato controcorrente rispetto al suo cantone."
3005,58.7,58.7,41.3,"Stein AR","Stein (AR)","Stein AR","Die Gemeinde Stein AR hat den höheren Frontex-Beitrag mit 58,7 Prozent angenommen. Stein AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","A Stein (AR), les habitants disent oui à 58,7 pour cent au renforcement de la participation de la Suisse à Frontex. Stein (AR) a approuvé la modification de la loi, contrairement à son canton.","Nel comune di Stein AR la maggiore partecipazione a Frontex è stata approvata con il 58,7 percento dei voti. Il comune di Stein AR approvando la legge è andato controcorrente rispetto al suo cantone."
3006,53.2,53.2,46.8,"Urnäsch AR","Urnäsch (AR)","Urnäsch AR","Die Gemeinde Urnäsch hat den höheren Frontex-Beitrag mit 53,2 Prozent Ja-Stimmen angenommen. Urnäsch hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","Les habitants d'Urnäsch acceptent le renforcement de la participation de la Suisse à Frontex avec 53,2 pour cent de oui. Urnäsch a approuvé la modification de la loi, contrairement à son canton.","Nel comune di Urnäsch la maggiore partecipazione a Frontex è stata accettata con il 53,2 percento dei voti. Il comune di Urnäsch approvando la legge è andato controcorrente rispetto al suo cantone."
3007,11.6,11.6,88.4,"Waldstatt AR","Waldstatt (AR)","Waldstatt AR","Keine Mehrheit für den höheren Frontex-Beitrag in Waldstatt: Mit 8'801 Nein-Stimmen zu 1'160 Ja-Stimmen oder 88,4 Prozent hat die Gemeinde die Vorlage verworfen. Waldstatt hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","C'est non à 88,4 pour cent au renforcement de la participation de la Suisse à Frontex à Waldstatt. Waldstatt a rejeté la modification de la loi, tout comme son canton.","Da Waldstatt è arrivato un ""no"" alle urne per la maggiore partecipazione a Frontex. I cittadini hanno bocciato il testo con il 88,4 percento dei voti. Il comune di Waldstatt bocciando la legge si è espresso come il suo cantone."
3021,45.1,45.1,54.9,"Bühler AR","Bühler (AR)","Bühler AR","Nein zum höheren Frontex-Beitrag in Bühler: Mit 8'284 Nein- zu 6'796 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger die Vorlage abgelehnt. Das sind 54,9 Prozent. Bühler hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","Le renforcement de la participation de la Suisse à Frontex échoue à Bühler avec 54,9 pour cent de non. Bühler a rejeté la modification de la loi, tout comme son canton.","A Bühler i cittadini hanno respinto, con il 54,9 percento dei voti, la maggiore partecipazione a Frontex. Il comune di Bühler bocciando la legge si è espresso come il suo cantone."
3022,73.7,73.7,26.3,"Gais AR","Gais (AR)","Gais AR","In Gais hat die Stimmbevölkerung dem höheren Frontext-Beitrag zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 73,7 Prozent angenommen. Gais hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","A Gais, les habitants sont favorables au renforcement de la participation de la Suisse à Frontex avec 73,7 pour cent de oui. Gais a approuvé la modification de la loi, contrairement à son canton.","I cittadini di Gais si sono espressi a favore della la maggiore partecipazione a Frontex. Il testo è stato approvato con il 73,7 percento dei voti. Il comune di Gais approvando la legge è andato controcorrente rispetto al suo cantone."
3023,50.1,50.1,49.9,"Speicher AR","Speicher (AR)","Speicher AR","50,1 Prozent der Stimmbürgerinnen und Stimmbürger von Speicher haben einem höheren Frontex-Beitrag zugestimmt. Speicher hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","Les électeurs de Speicher valident le renforcement de la participation de la Suisse à Frontex avec 50,1 pour cent de oui. Speicher a approuvé la modification de la loi, contrairement à son canton.","A Speicher i cittadini hanno accolto, con il 50,1 percento dei voti, la maggiore partecipazione a Frontex. Il comune di Speicher approvando la legge è andato controcorrente rispetto al suo cantone."
3024,42.3,42.3,57.7,"Teufen AR","Teufen (AR)","Teufen AR","Nein zum höheren Frontex-Beitrag in Teufen AR. Die Gemeinde hat die Vorlage mit 57,7 Prozent abgelehnt. Teufen AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","A Teufen (AR), les habitants disent non à 57,7 pour cent au renforcement de la participation de la Suisse à Frontex. Teufen (AR) a rejeté la modification de la loi, tout comme son canton.","I cittadini di Teufen AR si sono espressi contro la maggiore partecipazione a Frontex. Il testo è stato respinto con il 57,7 percento dei voti. Il comune di Teufen AR bocciando la legge si è espresso come il suo cantone."
3025,15.4,15.4,84.6,"Trogen AR","Trogen (AR)","Trogen AR","In Trogen hat der höhere Frontex-Beitrag keine Mehrheit gefunden. Auf 84,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Trogen hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","Les habitants de Trogen rejettent le renforcement de la participation de la Suisse à Frontex avec 84,6 pour cent de non. Trogen a rejeté la modification de la loi, tout comme son canton.","Nel comune di Trogen la maggiore partecipazione a Frontex è stata bocciata con il 84,6 percento dei voti. Il comune di Trogen bocciando la legge si è espresso come il suo cantone."
3031,80.4,80.4,19.6,"Grub AR","Grub (AR)","Grub AR","Ja zum höheren Frontex-Beitrag in Grub AR. Die Gemeinde hat die Vorlage mit 80,4 Prozent der Stimmen angenommen. Grub AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","Le renforcement de la participation de la Suisse à Frontex passe la rampe à Grub (AR) avec 80,4 pour cent de oui. Grub (AR) a approuvé la modification de la loi, contrairement à son canton.","Da Grub AR è arrivato un ""sì"" alle urne per la maggiore partecipazione a Frontex. I cittadini hanno accolto il testo con il 80,4 percento dei voti. Il comune di Grub AR approvando la legge è andato controcorrente rispetto al suo cantone."
