"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",50.3,49.7,100,162,122,"122/162"
2,"Bern","Berne","Berna",47.9,52.1,0,334,48,"48/334"
3,"Luzern","Lucerne","Lucerna",56.6,43.4,100,80,79,"79/80"
4,"Uri","Uri","Uri",53,47,53,19,19,
5,"Schwyz","Schwyz","Svitto",46.3,53.7,0,30,24,"24/30"
6,"Obwalden","Obwald","Obvaldo",51.4,48.6,100,7,6,"6/7"
7,"Nidwalden","Nidwald","Nidvaldo",55.1,44.9,55.1,11,11,
8,"Glarus","Glaris","Glarona",52.6,47.4,52.6,3,3,
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11"
10,"Freiburg","Fribourg","Friburgo",73.3,26.7,100,126,125,"125/126"
11,"Solothurn","Soleure","Soletta",51.6,48.4,100,107,104,"104/107"
12,"Basel-Stadt","Bâle-Ville","Basilea Città",0,0,50,3,0,"0/3"
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",54.8,45.2,100,86,75,"75/86"
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26"
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",49.4,50.6,49.4,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,5,0,"0/5"
17,"St. Gallen","Saint-Gall","San Gallo",53.3,46.7,53.3,77,77,
18,"Graubünden","Grisons","Grigioni",57.6,42.4,100,101,97,"97/101"
19,"Aargau","Argovie","Argovia",51.4,48.6,100,200,160,"160/200"
20,"Thurgau","Thurgovie","Turgovia",49.9,50.1,0,80,79,"79/80"
21,"Tessin","Tessin","Ticino",65.4,34.6,100,106,100,"100/106"
22,"Waadt","Vaud","Vaud",81.4,18.6,100,300,298,"298/300"
23,"Wallis","Valais","Vallese",72,28,100,122,116,"116/122"
24,"Neuenburg","Neuchâtel","Neuchâtel",0,0,50,27,0,"0/27"
25,"Genf","Genève","Ginevra",0,0,50,45,0,"0/45"
26,"Jura","Jura","Giura",75.9,24.1,100,53,29,"29/53"
