"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,63,63,37,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Aeugst am Albis hat die Änderung des kantonalen Bürgerrechtsgesetzes mit 63 Prozent angenommen.",,
2,65.1,65.1,34.9,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Affoltern am Albis hat die Änderung des kantonalen Bürgerrechtsgesetzes mit 65,1 Prozent angenommen.",,
3,68.9,68.9,31.1,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Bonstetten hat die Änderung des kantonalen Bürgerrechtsgesetzes mit 68,9 Prozent angenommen.",,
4,66.8,66.8,33.2,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","66,8 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben der Änderung des kantonalen Bürgerrechtsgesetzes zugestimmt.",,
5,68.5,68.5,31.5,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Mit 68,5 Prozent Ja hat sich Hedingen für die Änderung des kantonalen Bürgerrechtsgesetzes ausgesprochen.",,
6,55,55,45,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Kappel am Albis hat die Änderung des kantonalen Bürgerrechtsgesetzes mit 55 Prozent angenommen.",,
7,64.2,64.2,35.8,"Knonau ZH","Knonau (ZH)","Knonau ZH","Mit 64,2 Prozent Ja hat sich Knonau für die Änderung des kantonalen Bürgerrechtsgesetzes ausgesprochen.",,
8,57.7,57.7,42.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","57,7 Prozent der Stimmbürgerinnen und Stimmbürger von Maschwanden haben der Änderung des kantonalen Bürgerrechtsgesetzes zugestimmt.",,
9,64.9,64.9,35.1,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","64,9 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben der Änderung des kantonalen Bürgerrechtsgesetzes zugestimmt.",,
10,61.1,61.1,38.9,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","61,1 Prozent der Stimmbürgerinnen und Stimmbürger von Obfelden haben der Änderung des kantonalen Bürgerrechtsgesetzes zugestimmt.",,
11,64.3,64.3,35.7,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Mit 64,3 Prozent Ja hat sich Ottenbach für die Änderung des kantonalen Bürgerrechtsgesetzes ausgesprochen.",,
12,64.1,64.1,35.9,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Mit 64,1 Prozent Ja hat sich Rifferswil für die Änderung des kantonalen Bürgerrechtsgesetzes ausgesprochen.",,
13,63.7,63.7,36.3,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","63,7 Prozent der Stimmbürgerinnen und Stimmbürger von Stallikon haben der Änderung des kantonalen Bürgerrechtsgesetzes zugestimmt.",,
14,66.5,66.5,33.5,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Wettswil am Albis hat die Änderung des kantonalen Bürgerrechtsgesetzes mit 66,5 Prozent angenommen.",,
21,44.8,44.8,55.2,"Adlikon ZH","Adlikon (ZH)","Adlikon ZH","Keine Mehrheit für die Änderung des kantonalen Bürgerrechtsgesetzes in Adlikon. 55,2 Prozent haben die Vorlage verworfen.",,
22,46.5,46.5,53.5,"Benken ZH","Benken (ZH)","Benken ZH","Nein zur Änderung des kantonalen Bürgerrechtsgesetzes in Benken ZH: 53,5 Prozent haben die Vorlage abgelehnt.",,
23,45.7,45.7,54.3,"Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","Berg am Irchel hat die Änderung des kantonalen Bürgerrechtsgesetzes mit 54,3 Prozent abgelehnt.",,
24,56.1,56.1,43.9,"Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","56,1 Prozent der Stimmbürgerinnen und Stimmbürger von Buch am Irchel haben der Änderung des kantonalen Bürgerrechtsgesetzes zugestimmt.",,
25,67,67,33,"Dachsen ZH","Dachsen (ZH)","Dachsen ZH","67 Prozent der Stimmbürgerinnen und Stimmbürger von Dachsen haben der Änderung des kantonalen Bürgerrechtsgesetzes zugestimmt.",,
26,52.9,52.9,47.1,"Dorf ZH","Dorf (ZH)","Dorf ZH","52,9 Prozent der Stimmbürgerinnen und Stimmbürger von Dorf haben der Änderung des kantonalen Bürgerrechtsgesetzes zugestimmt.",,
27,63.6,63.6,36.4,"Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","Feuerthalen hat die Änderung des kantonalen Bürgerrechtsgesetzes mit 63,6 Prozent angenommen.",,
28,51.8,51.8,48.2,"Flaach ZH","Flaach (ZH)","Flaach ZH","Flaach hat die Änderung des kantonalen Bürgerrechtsgesetzes mit 51,8 Prozent angenommen.",,
29,70.9,70.9,29.1,"Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","Flurlingen hat die Änderung des kantonalen Bürgerrechtsgesetzes mit 70,9 Prozent angenommen.",,
30,66.9,66.9,33.1,"Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","Mit 66,9 Prozent Ja hat sich Andelfingen für die Änderung des kantonalen Bürgerrechtsgesetzes ausgesprochen.",,
31,58,58,42,"Henggart ZH","Henggart (ZH)","Henggart ZH","Henggart hat die Änderung des kantonalen Bürgerrechtsgesetzes mit 58 Prozent angenommen.",,
32,48.1,48.1,51.9,"Humlikon ZH","Humlikon (ZH)","Humlikon ZH","Keine Mehrheit für die Änderung des kantonalen Bürgerrechtsgesetzes in Humlikon. 51,9 Prozent haben die Vorlage verworfen.",,
33,57,57,43,"Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH","Mit 57 Prozent Ja hat sich Kleinandelfingen für die Änderung des kantonalen Bürgerrechtsgesetzes ausgesprochen.",,
34,56.3,56.3,43.7,"Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH","Laufen-Uhwiesen hat die Änderung des kantonalen Bürgerrechtsgesetzes mit 56,3 Prozent angenommen.",,
35,51.4,51.4,48.6,"Marthalen ZH","Marthalen (ZH)","Marthalen ZH","Mit 51,4 Prozent Ja hat sich Marthalen für die Änderung des kantonalen Bürgerrechtsgesetzes ausgesprochen.",,
37,55.4,55.4,44.6,"Ossingen ZH","Ossingen (ZH)","Ossingen ZH","Mit 55,4 Prozent Ja hat sich Ossingen für die Änderung des kantonalen Bürgerrechtsgesetzes ausgesprochen.",,
38,50,0,0,"Rheinau ZH","Rheinau (ZH)","Rheinau ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
39,50.9,50.9,49.1,"Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur ZH","Thalheim an der Thur hat die Änderung des kantonalen Bürgerrechtsgesetzes mit 50,9 Prozent angenommen.",,
40,48.8,48.8,51.2,"Trüllikon ZH","Trüllikon (ZH)","Trüllikon ZH","Keine Mehrheit für die Änderung des kantonalen Bürgerrechtsgesetzes in Trüllikon. 51,2 Prozent haben die Vorlage verworfen.",,
